candidate_id,rank,score,reasoning
CAND_0018499,1,0.8047,"With 7.2 years of experience, they are currently working as a Senior Machine Learning Engineer, including valuable tenure at Zomato, Google. Their profile highlights skills in Weaviate, Pinecone and they are currently based in Noida, Uttar Pradesh (actively looking; 15-day notice; response rate of 61%)."
CAND_0081846,2,0.7822,"They are a seasoned Lead AI Engineer with 6.7 years of experience, with a background that includes roles at Razorpay, Paytm. Listed skills include Information Retrieval, Elasticsearch and they are currently based in Jaipur, Rajasthan (actively looking; 30-day notice; response rate of 73%)."
CAND_0046525,3,0.7036,"They demonstrate strong technical expertise as a Senior Machine Learning Engineer with a 6.1-year track record, and a professional history at Genpact AI, LinkedIn. Their technical background covers Elasticsearch, Information Retrieval and they are located in Pune, Maharashtra (actively looking; ready in 60 days; response rate 88%)."
CAND_0064326,4,0.6766,"They demonstrate strong technical expertise as a Search Engineer with a 7.6-year track record, and a professional history at Sarvam AI, Aganitha. Their technical background covers Milvus, Semantic Search and they are located in Gurgaon, Haryana (actively looking; ready in 45 days; response rate 94%)."
CAND_0068811,5,0.6660,"They are a seasoned Applied ML Engineer with 8.0 years of experience, with a background that includes roles at Freshworks, Yellow.ai. Listed skills include Vector Search, Qdrant and they are currently based in Pune, Maharashtra (actively looking; 30-day notice; response rate of 42%)."
CAND_0052328,6,0.6588,"With 6.5 years of experience, they are currently working as a Recommendation Systems Engineer, and a professional history at Amazon, Observe.AI. Their technical background covers OpenSearch, Vector Search and they are located in Pune, Maharashtra (actively looking; ready in 30 days; response rate 79%)."
CAND_0041669,7,0.6264,"They serve as a Recommendation Systems Engineer with 8.0 YOE, and a professional history at CRED, Mad Street Den. Their profile highlights skills in FAISS, Milvus and they are currently based in Noida, Uttar Pradesh (actively looking; 60-day notice; response rate of 77%)."
CAND_0068932,8,0.6260,"They bring 5.2 years of engineering experience, currently working as a ML Engineer, having built systems at Krutrim, Vedantu. Key technical skills listed include Milvus, RAG and they operate out of Noida, Uttar Pradesh (actively looking; 30-day notice; response rate of 82%)."
CAND_0006567,9,0.6258,"They serve as a Senior AI Engineer with 7.9 YOE, and a professional history at Meta, Razorpay. Their profile highlights skills in NLP and they are currently based in Noida, Uttar Pradesh (actively looking; 60-day notice; response rate of 79%)."
CAND_0007009,10,0.6184,"With 7.9 years of experience, they are currently working as a Recommendation Systems Engineer, and a professional history at Wysa, PolicyBazaar. Their technical background covers Weaviate, Embeddings and they are located in Noida, Uttar Pradesh (actively looking; ready in 30 days; response rate 62%)."
CAND_0050454,11,0.6165,"They are a seasoned AI Engineer with 6.8 years of experience, with a background that includes roles at Rephrase.ai, Uber. Listed skills include FAISS, Qdrant and they are currently based in Delhi, Delhi (actively looking; 30-day notice; response rate of 77%)."
CAND_0008295,12,0.6145,"They bring 6.5 years of engineering experience, currently working as a AI Research Engineer, having built systems at Razorpay, TCS. Key technical skills listed include Weaviate and they operate out of Pune, Maharashtra (actively looking; 45-day notice; response rate of 89%)."
CAND_0011263,13,0.6105,"With 5.1 years of experience, they are currently working as a ML Engineer, and a professional history at Ola, Sarvam AI. Their technical background covers Pinecone, Information Retrieval and they are located in Pune, Maharashtra (actively looking; ready in 60 days; response rate 42%)."
CAND_0041610,14,0.5985,"With 6.7 years of experience, they are currently working as a Recommendation Systems Engineer, and a professional history at Zoho, Observe.AI. Their technical background covers Elasticsearch, OpenSearch and they are located in Indore, Madhya Pradesh (actively looking; ready in 30 days; response rate 52%)."
CAND_0075574,15,0.5961,"They demonstrate strong technical expertise as a Machine Learning Engineer with a 5.7-year track record, having built systems at Haptik, Observe.AI. Their technical background covers Weaviate, OpenSearch while they reside in Bangalore, Karnataka (actively looking; notice period of 60 days; response rate 58%)."
CAND_0048558,16,0.5870,"They are an experienced Data Scientist with 6.7 years in software and ML engineering, with a background that includes roles at Rephrase.ai, Aganitha. Their technical background covers Information Retrieval, OpenSearch while they reside in Noida, Uttar Pradesh (actively looking; notice period of 30 days; response rate 80%)."
CAND_0062247,17,0.5840,"With 7.3 years of experience, they are currently working as a AI Engineer, with a background that includes roles at Google, Dream11. Key technical skills listed include Pinecone, Vector Search and they operate out of Kochi, Kerala (actively looking; 30-day notice; response rate of 78%)."
CAND_0006418,18,0.5794,"They demonstrate strong technical expertise as a Machine Learning Engineer with a 5.7-year track record, with a background that includes roles at Verloop.io, Flipkart. Key technical skills listed include Semantic Search, Embeddings and they operate out of Gurgaon, Haryana (actively looking; 60-day notice; response rate of 92%)."
CAND_0077337,19,0.5776,"They are an experienced Staff Machine Learning Engineer with 7.0 years in software and ML engineering, with a background that includes roles at Paytm, Razorpay. Their technical background covers Semantic Search, Pinecone while they reside in Kochi, Kerala (actively looking; notice period of 60 days; response rate 95%)."
CAND_0061257,20,0.5600,"They are a seasoned Staff Machine Learning Engineer with 8.0 years of experience, and a professional history at LinkedIn, Yellow.ai. They possess expertise in Information Retrieval Systems and they operate out of Noida, Uttar Pradesh (actively looking; 30-day notice; response rate of 87%)."
CAND_0018549,21,0.5470,"They bring 6.8 years of engineering experience, currently working as a Recommendation Systems Engineer, including valuable tenure at Uber, Flipkart. Listed skills include Weaviate, Elasticsearch while they reside in Coimbatore, Tamil Nadu (actively looking; notice period of 60 days; response rate 73%)."
CAND_0071939,22,0.5466,"They serve as a Data Scientist with 6.4 YOE, having built systems at Krutrim, Genpact AI. Their profile highlights skills in Elasticsearch, OpenSearch and they are located in Pune, Maharashtra (actively looking; notice period of 30 days; response rate 67%)."
CAND_0017960,23,0.5427,"They are an experienced Recommendation Systems Engineer with 7.7 years in software and ML engineering, with a background that includes roles at Nykaa, Wysa. Their technical background covers Qdrant, Information Retrieval while they reside in Bangalore, Karnataka (actively looking; notice period of 60 days; response rate 72%)."
CAND_0002025,24,0.5365,"They serve as a Senior AI Engineer with 5.9 YOE, and a professional history at Apple, Aganitha. Their profile highlights skills in FAISS, OpenSearch and they are currently based in Trivandrum, Kerala (actively looking; 30-day notice; response rate of 80%)."
CAND_0027691,25,0.5310,"With 6.5 years of experience, they are currently working as a NLP Engineer, and a professional history at Haptik, Vedantu. Listed skills include Weaviate, Embeddings while they reside in Pune, Maharashtra (actively looking; notice period of 15 days; response rate 68%)."
CAND_0004402,26,0.5308,"They bring 6.0 years of engineering experience, currently working as a AI Research Engineer, having built systems at Yellow.ai, Zomato. Key technical skills listed include OpenSearch, Qdrant and they operate out of Delhi, Delhi (actively looking; 60-day notice; response rate of 83%)."
CAND_0064888,27,0.5289,"They demonstrate strong technical expertise as a ML Engineer with a 5.8-year track record, with a background that includes roles at Verloop.io, Wipro. They possess expertise in Embeddings, Elasticsearch and they are currently based in Vizag, Andhra Pradesh (actively looking; 30d notice; 92% response rate)."
CAND_0078492,28,0.5240,"They are an experienced Recommendation Systems Engineer with 5.1 years in software and ML engineering, and a professional history at Verloop.io, Adobe. Key technical skills listed include FAISS, Qdrant and they are located in Kochi, Kerala (actively looking; notice period of 30 days; response rate 70%)."
CAND_0037566,29,0.5108,"With 6.9 years of experience, they are currently working as a Machine Learning Engineer, including valuable tenure at LinkedIn, Paytm. Key technical skills listed include Pinecone, Elasticsearch and they are located in Bangalore, Karnataka (actively looking; notice period of 15 days; response rate 50%)."
CAND_0007052,30,0.5105,"With 6.5 years of experience, they are currently working as a ML Engineer, having built systems at Unacademy, Wysa. Their technical background covers RAG, Weaviate while they reside in Pune, Maharashtra (actively looking; notice period of 60 days; response rate 85%)."
CAND_0000031,31,0.5103,"They are a seasoned Recommendation Systems Engineer with 6.0 years of experience, having built systems at Swiggy, Mad Street Den. Key technical skills listed include FAISS, Pinecone and they operate out of Hyderabad, Telangana (actively looking; 60-day notice; response rate of 91%)."
CAND_0040178,32,0.5093,"They are an experienced ML Engineer with 5.0 years in software and ML engineering, having built systems at Meesho, InMobi. Their profile highlights skills in Weaviate, Vector Search and they are located in Pune, Maharashtra (actively looking; notice period of 60 days; response rate 55%)."
CAND_0083879,33,0.5040,"With 7.1 years of experience, they are currently working as a Machine Learning Engineer, having built systems at Ola, PhonePe. Listed skills include Milvus and they operate out of Noida, Uttar Pradesh (actively looking; 30d notice; 47% response rate)."
CAND_0030468,34,0.4905,"They demonstrate strong technical expertise as a Senior Applied Scientist with a 5.4-year track record, including valuable tenure at Swiggy, CRED. Key technical skills listed include Information Retrieval Systems, OpenSearch and they are located in Indore, Madhya Pradesh (actively looking; notice period of 45 days; response rate 78%)."
CAND_0037160,35,0.4839,"They are an experienced Data Scientist with 6.0 years in software and ML engineering, having built systems at Haptik, TCS. Their profile highlights skills in Weaviate, Vector Search and they are located in Mumbai, Maharashtra (actively looking; notice period of 30 days; response rate 74%)."
CAND_0033179,36,0.4838,"They are a seasoned AI Research Engineer with 6.9 years of experience, having built systems at Wipro, CRED. They possess expertise in OpenSearch, Information Retrieval and they are currently based in Ahmedabad, Gujarat (actively looking; 30d notice; 84% response rate)."
CAND_0053605,37,0.4824,"With 6.9 years of experience, they are currently working as a Senior Software Engineer (ML), including valuable tenure at Verloop.io, TCS. Key technical skills listed include Semantic Search, RAG and they are located in Noida, Uttar Pradesh (actively looking; notice period of 30 days; response rate 88%)."
CAND_0005509,38,0.4803,"They serve as a Data Scientist with 6.0 YOE, and a professional history at Ola, Haptik. Key technical skills listed include Qdrant and they are located in Noida, Uttar Pradesh (actively looking; notice period of 30 days; response rate 40%)."
CAND_0062413,39,0.4795,"They demonstrate strong technical expertise as a AI Research Engineer with a 6.6-year track record, including valuable tenure at upGrad, Verloop.io. Key technical skills listed include Semantic Search, OpenSearch and they are located in Mumbai, Maharashtra (actively looking; notice period of 60 days; response rate 71%)."
